territorio,valor,tipo
Cantabria,44.1,ccaa
Islas Baleares,41.8,ccaa
Islas Canarias,37.8,ccaa
Cataluña,36.4,ccaa
País Vasco,31.1,ccaa
Aragón,28.9,ccaa
Asturias,27.9,ccaa
Comunidad Valenciana,27.0,ccaa
Región de Murcia,26.1,ccaa
Comunidad de Madrid,24.6,ccaa
Castilla-La Mancha,24.5,ccaa
Castilla y León,24.1,ccaa
Extremadura,24.1,extremadura
Andalucía,24.0,ccaa
Comunidad Foral de Navarra,23.2,ccaa
La Rioja,21.8,ccaa
Galicia,21.4,ccaa
España,28.9,referencia
Unión Europea,28.9,referencia
