anio,ambito,tea
2021,Extremadura,0.0
2022,Extremadura,0.0
2023,Extremadura,0.0
2024,Extremadura,0.0
2025,Extremadura,0.0
2021,España,0.0
2022,España,0.0
2023,España,0.0
2024,España,0.0
2025,España,0.0
